Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
GUILLEMOT,FR0000066722,GUI,Euronext Paris,EUR,16.45,18.55,16.15,17.9,9/02/2021 17:39,CET,145432,2519583
HAL TRUST,BMG455841020,HAL,Euronext Amsterdam,EUR,125.6,129.8,125.4,128.6,9/02/2021 17:39,CET,22018,2810012.6
HAULOTTE GROUP,FR0000066755,PIG,Euronext Paris,EUR,6.21,6.37,6.21,6.37,9/02/2021 17:35,CET,24745,155807.6
HEIJMANS,NL0009269109,HEIJM,Euronext Amsterdam,EUR,11.16,11.16,11,11.06,9/02/2021 17:35,CET,82433,909733.42
HEINEKEN,NL0000009165,HEIA,Euronext Amsterdam,EUR,88.26,89.46,88.22,89.04,9/02/2021 17:35,CET,671325,59749053.24
HEINEKEN HOLDING,NL0000008977,HEIO,Euronext Amsterdam,EUR,75.9,77.05,75.4,76.45,9/02/2021 17:35,CET,68418,5234754.35
HERMES INTL,FR0000052292,RMS,Euronext Paris,EUR,900.4,915.6,897.6,915.6,9/02/2021 17:35,CET,45022,41012520.2
HEXAOM,FR0004159473,HEXA,Euronext Paris,EUR,37.2,37.2,36.5,36.5,9/02/2021 17:35,CET,5341,196805.85
HF,FR0000038531,HF,Euronext Paris,EUR,6.4,6.48,6.4,6.4,9/02/2021 17:28,CET,5195,33445.68
HIGH CO,FR0000054231,HCO,Euronext Paris,EUR,5.38,5.4,5.26,5.36,9/02/2021 17:35,CET,4842,25847.52
HIPAY GROUP,FR0012821916,HIPAY,Euronext Paris,EUR,17.15,17.15,16,16.7,9/02/2021 17:35,CET,8471,140287.55
HOLLAND COLOURS,NL0000440311,HOLCO,Euronext Amsterdam,EUR,115,119,115,119,9/02/2021 17:03,CET,502,59280
HOPSCOTCH GROUPE,FR0000065278,HOP,Euronext Paris,EUR,7.94,7.94,7.68,7.78,9/02/2021 16:17,CET,1238,9629.64
HOTELS DE PARIS,FR0004165801,HDP,Euronext Paris,EUR,2.4,2.4,2.4,2.4,9/02/2021 16:30,CET,1071,2570.4
HUNTER DOUGLAS,ANN4327C1220,HDG,Euronext Amsterdam,EUR,65.2,65.2,64.8,65,9/02/2021 17:35,CET,19535,1270270.2
